All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
MIN,Mineral Resources Ltd,Materials,"3,656,310,000",0.2,,,
MLD,Maca Ltd,Materials,"255,947,000",0.01,,,
MLX,Metals X Ltd,Materials,"84,375,700",0,,,
MMI,Metro Mining Ltd,Materials,"145,834,000",0.01,,,
MMS,Mcmillan Shakespeare Ltd,Industrials,"684,049,000",0.04,,,
MND,Monadelphous Group Ltd,Industrials,"1,123,480,000",0.06,,,
MNF,MNF Group Ltd,,"446,851,000",0.02,,,
MNS,Magnis Energy Technologies Ltd,Materials,"49,665,500",0,,,
MNY,MONEY3 Corporation Ltd,Financials,"330,734,000",0.02,,,
MOC,Mortgage Choice Ltd,Financials,"100,623,000",0.01,,,
MOE,Moelis Australia Ltd,Financials,"563,756,000",0.03,,,
MOZ,Mosaic Brands Ltd,Consumer Discretionary,"85,195,400",0,,,
MP1,Megaport Ltd,Information Technology,"2,125,650,000",0.11,,,
MPL,Medibank Private Ltd,Financials,"7,766,290,000",0.42,,,
MQG,Macquarie Group Ltd,Financials,"39,155,600,000",2.1,,,
MRM,Mma Offshore Ltd,Energy,"67,578,400",0,,,
MSB,Mesoblast Ltd,Health Care,"2,281,850,000",0.12,,,
MTO,Motorcycle Holdings Ltd,Consumer Discretionary,"104,901,000",0.01,,,
MTS,Metcash Ltd,Consumer Staples,"2,750,160,000",0.15,,,
MVF,Monash Ivf Group Ltd,Health Care,"220,144,000",0.01,,,
MVP,Medical Developments International Ltd,Health Care,"526,300,000",0.03,,,
MWY,Midway Ltd,Materials,"84,716,100",0,,,
MYR,Myer Holdings Ltd,Consumer Discretionary,"225,852,000",0.01,,,
MYS,Mystate Ltd,Financials,"363,435,000",0.02,,,
MYX,Mayne Pharma Group Ltd,Health Care,"713,604,000",0.04,,,
NAB,National Australia Bank Ltd,Financials,"57,372,200,000",3.08,,,
NAN,Nanosonics Ltd,Health Care,"2,164,350,000",0.12,,,
NCK,Nick Scali Ltd,Consumer Discretionary,"461,700,000",0.02,,,
NCM,Newcrest Mining Ltd,Materials,"25,395,500,000",1.36,,,
NCZ,New Century Resources Ltd,Materials,"149,441,000",0.01,,,
NEA,Nearmap Ltd,Information Technology,"991,448,000",0.05,,,
NEC,Nine Entertainment Co. Holdings Ltd,Communication Services,"2,558,090,000",0.14,,,
NEU,Neuren Pharmaceuticals Ltd,Health Care,"179,802,000",0.01,,,
NEW,NEW Energy Solar,Utilities,"393,976,000",0.02,,,
NGI,Navigator Global Investments Ltd,Financials,"208,360,000",0.01,,,
NHC,New Hope Corporation Ltd,Energy,"1,139,440,000",0.06,,,
NHF,Nib Holdings Ltd,Financials,"2,096,800,000",0.11,,,
NIC,Nickel Mines Ltd,Materials,"941,369,000",0.05,,,
NMT,Neometals Ltd,Materials,"92,567,900",0,,,
NSR,National Storage REIT,Real Estate,"1,808,630,000",0.1,,,
NST,Northern Star Resources Ltd,Materials,"11,226,500,000",0.6,,,
NUF,Nufarm Ltd,Materials,"2,122,490,000",0.11,,,
NWH,NRW Holdings Ltd,Industrials,"829,903,000",0.04,,,
NWL,Netwealth Group Ltd,Financials,"1,946,720,000",0.1,,,
NWS,News Corporation,Communication Services,"885,415,000",0.05,,,
NXT,NEXTDC Ltd,Information Technology,"4,090,870,000",0.22,,,
OBL,Omni Bridgeway Ltd,Financials,"1,161,870,000",0.06,,,
OCL,Objective Corporation Ltd,Information Technology,"679,221,000",0.04,,,
OFX,OFX Group Ltd,Financials,"323,134,000",0.02,,,
OGC,Oceanagold Corporation,Materials,"227,101,000",0.01,,,
OMH,Om Holdings Ltd,Materials,"306,529,000",0.02,,,
OML,Ooh!Media Ltd,Communication Services,"645,049,000",0.03,,,
ONT,1300 Smiles Ltd,Health Care,"122,180,000",0.01,,,
OPT,Opthea Ltd,Health Care,"888,221,000",0.05,,,
ORA,Orora Ltd,Materials,"3,233,920,000",0.17,,,
ORE,Orocobre Ltd,Materials,"681,647,000",0.04,,,
ORG,Origin Energy Ltd,Energy,"10,708,200,000",0.58,,,
ORI,Orica Ltd,Materials,"7,041,830,000",0.38,,,
OSH,Oil Search Ltd,Energy,"7,376,370,000",0.4,,,
OTW,Over the Wire Holdings Ltd,Information Technology,"169,414,000",0.01,,,
OVH,Onevue Holdings Ltd,Financials,"100,471,000",0.01,,,
OZL,OZ Minerals Ltd,Materials,"3,121,930,000",0.17,,,
PAC,Pacific Current Group Ltd,Financials,"249,537,000",0.01,,,
PAN,Panoramic Resources Ltd,Materials,"64,103,000",0,,,
PAR,Paradigm Biopharmaceuticals Ltd,Health Care,"707,922,000",0.04,,,
PCG,Pengana Capital Group Ltd,Financials,"124,662,000",0.01,,,
PDL,Pendal Group Ltd,Financials,"2,014,290,000",0.11,,,
PDN,Paladin Energy Ltd,Energy,"223,068,000",0.01,,,
PET,Phoslock Environmental Technologies Ltd,Industrials,"315,843,000",0.02,,,
PFP,Propel Funeral Partners Ltd,Consumer Discretionary,"293,244,000",0.02,,,
PGC,Paragon Care Ltd,Health Care,"55,751,100",0,,,
PGH,Pact Group Holdings Ltd,Materials,"787,745,000",0.04,,,
